"ids","labels","parents","values"
"Jean-Philippe Gbamin","Gbamin","EVE",4
"Djibril Sidibé","Sidibé","EVE",12
"Beni Baningime","Baningime","EVE",0
"Ricardo Domingos Barbosa Pereira","Pereira","LEI",54
"Benjamin Chilwell","Chilwell","LEI",48
"Jonny Evans","Evans","LEI",42
"Christian Fuchs","Fuchs","LEI",5
"Çaglar Söyüncü","Söyüncü","LEI",47
"Wes Morgan","Morgan","LEI",3
"Jamie Vardy","Vardy","LEI",80
"Kelechi Iheanacho","Iheanacho","LEI",0
"Kasper Schmeichel","Schmeichel","LEI",46
"Eldin Jakupovic","Jakupovic","LEI",0
"Danny Ward","Ward","LEI",0
"James Maddison","Maddison","LEI",53
"Harvey Barnes","Barnes","LEI",40
"Rachid Ghezzal","Ghezzal","LEI",0
"Marc Albrighton","Albrighton","LEI",9
"Demarai Gray","Gray","LEI",10
"Wilfred Ndidi","Ndidi","LEI",36
"Matty James","James","LEI",0
"Daniel Amartey","Amartey","LEI",0
"Nampalys Mendy","Mendy","LEI",1
"Hamza Choudhury","Choudhury","LEI",14
"Ayoze Pérez","Pérez","LEI",45
"James Justin","Justin","LEI",0
"Youri Tielemans","Tielemans","LEI",51
"Andy King","King","LEI",0
"Dennis Praet","Praet","LEI",14
"Andrew Robertson","Robertson","LIV",52
"Trent Alexander-Arnold","Alexander-Arnold","LIV",50
"Virgil van Dijk","van Dijk","LIV",38
"Joseph Gomez","Gomez","LIV",4
"Joel Matip","Matip","LIV",32
"Dejan Lovren","Lovren","LIV",5
"Roberto Firmino","Firmino","LIV",54
"Divock Origi","Origi","LIV",20
"Alisson Ramses Becker","Alisson","LIV",8
"Simon Mignolet","Mignolet","LIV",0
"Mohamed Salah","Salah","LIV",64
"Sadio Mané","Mané","LIV",76
"Alex Oxlade-Chamberlain","Chamberlain","LIV",9
"Xherdan Shaqiri","Shaqiri","LIV",2
"Adam Lallana","Lallana","LIV",12
"Naby Keita","Keita","LIV",2
"Fabio Henrique Tavares","Fabinho","LIV",22
"Jordan Henderson","Henderson","LIV",27
"Georginio Wijnaldum","Wijnaldum","LIV",33
"James Milner","Milner","LIV",23
"Rafael Camacho","Camacho","LIV",0
"Rhian Brewster","Brewster","LIV",0
"Adrián San Miguel del Castillo","Adrián","LIV",23
"Andy Lonergan","Lonergan","LIV",0
"Caoimhin Kelleher","Kelleher","LIV",0
"Harvey Elliott","Elliott","LIV",0
"Aymeric Laporte","Laporte","MCI",9
"Kyle Walker","Walker","MCI",35
"Benjamin Mendy","Mendy","MCI",13
"Oleksandr Zinchenko","Zinchenko","MCI",18
"John Stones","Stones","MCI",16
"Nicolás Otamendi","Otamendi","MCI",27
"Danilo Luiz da Silva","Danilo","MCI",0
"Sergio Agüero","Agüero","MCI",68
"Gabriel Fernando de Jesus","Jesus","MCI",31
"Ederson Santana de Moraes","Ederson","MCI",45
"Claudio Bravo","Bravo","MCI",0
"Raheem Sterling","Sterling","MCI",65
"Kevin De Bruyne","De Bruyne","MCI",74
